year,round,date,start_time,attendance,home_team_score,away_team_score,rain_fall,home_team_id,away_team_id,name,stadium_id
2020,R3,2020-06-19,19:50,0,57,33,0.0,18,9,Docklands,50
2020,R3,2020-06-18,19:40,0,39,71,0.0,14,10,M.C.G.,24
2020,R2,2020-06-14,18:05,0,88,49,5.8,15,18,Docklands,50
2020,R2,2020-06-14,15:35,337,73,79,11.0,16,5,S.C.G.,68
2020,R2,2020-06-14,13:05,350,60,80,7.4,9,12,Sydney Showground,73
2020,R2,2020-06-13,19:40,0,90,46,0.0,8,17,Carrara,67
2020,R2,2020-06-13,19:10,2240,110,35,0.6,13,1,Adelaide Oval,27
2020,R2,2020-06-13,16:35,0,53,54,0.0,3,11,Docklands,50
2020,R2,2020-06-13,13:45,0,81,69,0.0,2,6,Gabba,166
2020,R2,2020-06-12,19:50,0,108,47,0.0,7,10,Kardinia Park,160
2020,R2,2020-06-11,19:40,0,36,36,0.0,4,14,M.C.G.,24
2020,R18,2020-09-21,19:15,5424,45,61,0.0,4,13,Gabba,166
2020,R18,2020-09-20,18:10,3114,44,74,0.2,6,18,Cazaly's Stadium,75
2020,R18,2020-09-20,15:35,2798,63,69,0.0,16,7,Carrara,67
2020,R18,2020-09-20,12:35,2136,108,57,0.0,10,8,Adelaide Oval,27
2020,R18,2020-09-19,19:40,14563,78,61,0.4,2,3,Gabba,166
2020,R18,2020-09-19,16:40,17710,33,77,0.0,1,14,Adelaide Oval,27
2020,R18,2020-09-19,14:10,2175,49,68,18.4,5,11,Carrara,67
2020,R18,2020-09-18,19:50,1528,82,30,0.0,15,9,Gabba,166
2020,R18,2020-09-17,19:10,724,34,49,0.0,12,17,Carrara,67
2020,R17,2020-09-14,19:10,2896,68,46,0.8,4,8,Gabba,166
2020,R17,2020-09-13,18:10,3700,41,73,1.6,16,2,Cazaly's Stadium,75
2020,R17,2020-09-13,15:05,2625,40,76,9.2,10,18,Adelaide Oval,27
2020,R17,2020-09-13,13:05,2735,56,72,7.8,3,1,Carrara,67
2020,R17,2020-09-12,19:40,1204,74,79,0.2,9,11,Gabba,166
2020,R17,2020-09-12,16:35,17482,79,29,0.0,13,5,Adelaide Oval,27
2020,R17,2020-09-12,14:10,308,35,99,0.2,12,6,Carrara,67
2020,R17,2020-09-11,19:50,7061,31,57,12.0,7,14,Carrara,67
2020,R17,2020-09-10,19:10,1925,50,65,0.0,15,17,Gabba,166
2020,R16,2020-09-09,19:10,11292,88,43,0.0,2,8,Gabba,166
2020,R16,2020-09-08,20:10,1580,57,52,0.0,3,16,Carrara,67
2020,R16,2020-09-08,17:10,12436,59,47,0.0,1,9,Adelaide Oval,27
2020,R16,2020-09-07,19:10,3279,33,47,6.0,11,6,Cazaly's Stadium,75
2020,R16,2020-09-06,18:10,532,49,47,0.0,18,17,Carrara,67
2020,R16,2020-09-06,15:35,5011,108,42,0.0,7,5,Gabba,166
2020,R16,2020-09-06,13:05,2740,80,66,0.0,15,10,Carrara,67
2020,R16,2020-09-05,19:40,592,42,78,0.0,12,13,Carrara,67
2020,R15,2020-09-04,19:50,15036,42,34,0.0,2,4,Gabba,166
2020,R15,2020-09-03,19:10,1469,48,39,0.0,9,3,Carrara,67
2020,R15,2020-09-03,16:40,3199,67,46,0.0,16,11,Cazaly's Stadium,75
2020,R15,2020-09-02,19:10,1818,56,29,0.0,14,6,Carrara,67
2020,R15,2020-09-01,20:10,1932,60,45,0.0,17,5,Gabba,166
2020,R15,2020-09-01,17:10,6191,48,83,0.0,10,1,Adelaide Oval,27
2020,R14,2020-08-30,18:10,3353,91,28,1.2,8,12,Carrara,67
2020,R14,2020-08-30,15:35,9033,48,72,0.0,3,4,Gabba,166
2020,R14,2020-08-29,19:10,1917,52,49,,11,15,Traeger Park,64
2020,R14,2020-08-29,14:35,24406,53,91,2.8,6,9,Perth Stadium,26
2020,R14,2020-08-29,13:15,11801,73,47,0.0,13,16,Adelaide Oval,27
2020,R14,2020-08-28,19:50,2156,61,72,0.0,18,7,Carrara,67
2020,R14,2020-08-27,19:10,3628,88,61,0.0,14,17,Carrara,67
2020,R14,2020-08-27,16:10,4973,71,87,0.0,10,5,Adelaide Oval,27
2020,R13,2020-08-24,19:10,2443,65,35,0.0,4,12,Gabba,166
2020,R13,2020-08-23,16:10,27339,61,49,1.0,17,9,Perth Stadium,26
2020,R13,2020-08-23,15:35,13750,50,48,0.0,2,15,Gabba,166
2020,R13,2020-08-23,12:35,10431,37,65,0.4,1,7,Adelaide Oval,27
2020,R13,2020-08-22,18:10,24714,50,19,0.0,6,16,Perth Stadium,26
2020,R13,2020-08-22,19:15,5401,61,73,0.0,5,14,Marrara Oval,12
2020,R13,2020-08-22,16:05,11740,68,58,3.8,13,10,Adelaide Oval,27
2020,R13,2020-08-22,13:45,1765,80,52,0.0,18,11,Carrara,67
2020,R13,2020-08-21,19:20,5172,27,60,0.0,8,3,Marrara Oval,12
2020,R12,2020-08-17,19:10,4062,53,32,0.0,14,8,Gabba,166
2020,R12,2020-08-16,16:10,22870,81,49,19.2,17,10,Perth Stadium,26
2020,R12,2020-08-16,15:35,4686,68,33,6.4,15,5,Gabba,166
2020,R12,2020-08-16,13:05,613,111,54,0.2,18,1,Carrara,67
2020,R12,2020-08-15,18:10,24114,36,40,0.6,6,3,Perth Stadium,26
2020,R12,2020-08-15,17:10,5338,100,44,1.4,11,4,Gabba,166
2020,R12,2020-08-15,14:35,2722,52,53,2.0,12,2,Carrara,67
2020,R12,2020-08-14,19:50,3378,91,31,0.0,7,13,Carrara,67
2020,R12,2020-08-13,18:10,6464,66,25,0.0,16,9,Perth Stadium,26
2020,R11,2020-08-12,19:10,4303,73,73,0.0,8,5,Carrara,67
2020,R11,2020-08-11,18:05,8577,38,62,0.2,1,4,Adelaide Oval,27
