"index","game_id","year","round","date","start_time","attendance","home_team_score","away_team_score","rain_fall","home_team_id","away_team_id","name","stadium_id"
177,"2021R2107",2021,"R21","2021-08-08 00:00:00","15:20",0,84,97,1,18,5,"Docklands",107
178,"2021R2108",2021,"R21","2021-08-08 00:00:00","15:10",29589,54,118,3.8,6,2,"Perth Stadium",147
179,"2021R2109",2021,"R21","2021-08-09 00:00:00","18:10",31584,63,72,5.2,17,11,"Perth Stadium",147
180,"2021R2201",2021,"R22","2021-08-13 00:00:00","19:50",0,106,67,0,9,14,"Docklands",107
181,"2021R2202",2021,"R22","2021-08-14 00:00:00","13:45",7822,64,37,0,10,18,"York Park",163
182,"2021R2203",2021,"R22","2021-08-14 00:00:00","16:05",13943,140,45,0.2,13,3,"Adelaide Oval",47
183,"2021R2204",2021,"R22","2021-08-14 00:00:00","16:35",0,85,71,0,8,15,"Kardinia Park",154
184,"2021R2205",2021,"R22","2021-08-14 00:00:00","19:25",15146,142,57,1.8,2,4,"Gabba",56
185,"2021R2206",2021,"R22","2021-08-14 00:00:00","19:40",0,77,91,4,12,16,"Docklands",107
186,"2021R2207",2021,"R22","2021-08-15 00:00:00","14:10",0,104,63,0,11,1,"M.C.G.",63
187,"2021R2208",2021,"R22","2021-08-15 00:00:00","15:20",0,30,98,0,7,5,"Kardinia Park",154
188,"2021R2209",2021,"R22","2021-08-15 00:00:00","15:10",51692,79,64,0,6,17,"Perth Stadium",147
189,"2021R2301",2021,"R23","2021-08-20 00:00:00","19:50",0,64,66,0.8,18,13,"Docklands",107
190,"2021R2302",2021,"R23","2021-08-21 00:00:00","13:35",0,83,83,1.4,14,10,"M.C.G.",63
191,"2021R2303",2021,"R23","2021-08-21 00:00:00","13:45",0,136,49,1.4,16,7,"Docklands",107
192,"2021R2304",2021,"R23","2021-08-21 00:00:00","16:35",21845,125,87,0,2,17,"Gabba",56
193,"2021R2305",2021,"R23","2021-08-21 00:00:00","19:25",0,77,81,0,8,11,"Kardinia Park",154
