gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall
2021R1608,2021,R16,4-Jul-21,M.C.G.,3:20 PM,18082,Collingwood,61,St Kilda,70,0.4
2021R1607,2021,R16,4-Jul-21,Kardinia Park,1:10 PM,9520,Sydney,118,West Coast,26,1
2021R1606,2021,R16,3-Jul-21,Docklands,7:40 PM,18251,Hawthorn,53,Port Adelaide,87,7
2021R1605,2021,R16,3-Jul-21,M.C.G.,7:40 PM,12103,Fremantle,64,Carlton,80,7
2021R1604,2021,R16,3-Jul-21,Adelaide Oval,4:05 PM,16178,Adelaide,59,Brisbane Lions,111,6.6
2021R1603,2021,R16,3-Jul-21,M.C.G.,1:45 PM,16963,Melbourne,55,Greater Western Sydney,64,7
2021R1602,2021,R16,2-Jul-21,Kardinia Park,7:50 PM,15579,Geelong,98,Essendon,57,0.6
2021R1601,2021,R16,1-Jul-21,Docklands,7:20 PM,9327,Gold Coast,77,Richmond,67,0
2021R1509,2021,R15,27-Jun-21,Docklands,4:10 PM,14930,Carlton,83,Adelaide,73,0.2
2021R1508,2021,R15,27-Jun-21,Perth Stadium,1:20 PM,0,West Coast,43,Western Bulldogs,98,0
2021R1507,2021,R15,27-Jun-21,M.C.G.,1:10 PM,9897,Greater Western Sydney,72,Hawthorn,90,0.2
2021R1506,2021,R15,26-Jun-21,M.C.G.,7:25 PM,19414,Essendon,57,Melbourne,68,4.3
2021R1505,2021,R15,26-Jun-21,Adelaide Oval,4:05 PM,29631,Port Adelaide,81,Sydney,71,2.2
2021R1504,2021,R15,26-Jun-21,Bellerive Oval,1:45 PM,6719,North Melbourne,72,Gold Coast,63,0
2021R1503,2021,R15,26-Jun-21,Docklands,1:45 PM,11570,Collingwood,79,Fremantle,91,4.3
2021R1502,2021,R15,25-Jun-21,M.C.G.,7:50 PM,14787,Richmond,22,St Kilda,62,0
2021R1501,2021,R15,24-Jun-21,Gabba,7:30 PM,29024,Brisbane Lions,94,Geelong,50,0.8
2021R1405,2021,R14,20-Jun-21,York Park,3:20 PM,14834,Hawthorn,73,Essendon,86,0
2021R1404,2021,R14,19-Jun-21,Sydney Showground,7:25 PM,7035,Greater Western Sydney,102,Carlton,66,2.4
2021R1403,2021,R14,19-Jun-21,Bellerive Oval,4:35 PM,5060,North Melbourne,45,Brisbane Lions,68,0.6
2021R1402,2021,R14,19-Jun-21,Carrara,1:45 PM,7117,Gold Coast,31,Port Adelaide,81,0
2021R1401,2021,R14,18-Jun-21,Kardinia Park,7:50 PM,6583,Geelong,83,Western Bulldogs,78,0
2021R1307,2021,R13,14-Jun-21,S.C.G.,3:20 PM,16453,Melbourne,63,Collingwood,80,0
2021R1306,2021,R13,13-Jun-21,Perth Stadium,5:20 PM,50834,West Coast,85,Richmond,81,0
2021R1305,2021,R13,13-Jun-21,Bellerive Oval,3:20 PM,3462,North Melbourne,94,Greater Western Sydney,94,3.4
2021R1304,2021,R13,12-Jun-21,Cazaly's Stadium,7:25 PM,5969,St Kilda,60,Adelaide,66,
2021R1303,2021,R13,12-Jun-21,Perth Stadium,2:15 PM,27318,Fremantle,76,Gold Coast,49,0.2
2021R1302,2021,R13,11-Jun-21,S.C.G.,7:50 PM,25904,Sydney,51,Hawthorn,89,5.6
2021R1301,2021,R13,10-Jun-21,Adelaide Oval,7:10 PM,28718,Port Adelaide,91,Geelong,112,0
2021R1206,2021,R12,6-Jun-21,Perth Stadium,4:40 PM,32875,Fremantle,65,Western Bulldogs,93,0
2021R1205,2021,R12,6-Jun-21,S.C.G.,3:20 PM,5137,Carlton,73,West Coast,95,0
2021R1204,2021,R12,5-Jun-21,Perth Stadium,5:40 PM,55656,Essendon,84,Richmond,123,0
2021R1203,2021,R12,5-Jun-21,Adelaide Oval,4:05 PM,30446,Adelaide,73,Collingwood,78,0.2
2021R1202,2021,R12,5-Jun-21,S.C.G.,1:45 PM,19020,Sydney,92,St Kilda,83,0.2
2021R1201,2021,R12,4-Jun-21,Sydney Showground,7:50 PM,3772,Melbourne,97,Brisbane Lions,75,7
2021R1109,2021,R11,30-May-21,Adelaide Oval,4:50 PM,26759,Port Adelaide,115,Fremantle,69,0
2021R1108,2021,R11,30-May-21,S.C.G.,3:20 PM,29882,Sydney,100,Carlton,78,0.2
2021R1107,2021,R11,30-May-21,Sydney Showground,2:10 PM,4236,Richmond,111,Adelaide,83,0
2021R1106,2021,R11,29-May-21,S.C.G.,7:40 PM,1241,Gold Coast,113,Hawthorn,76,0
2021R1105,2021,R11,29-May-21,Perth Stadium,5:40 PM,41883,West Coast,71,Essendon,87,11.4
2021R1104,2021,R11,29-May-21,Docklands,4:35 PM,0,St Kilda,88,North Melbourne,68,0
2021R1103,2021,R11,29-May-21,Gabba,2:10 PM,22038,Brisbane Lions,129,Greater Western Sydney,65,0
2021R1102,2021,R11,29-May-21,M.C.G.,1:45 PM,0,Collingwood,51,Geelong,61,0
2021R1101,2021,R11,28-May-21,Docklands,7:50 PM,0,Western Bulldogs,59,Melbourne,87,0.4
2021R109,2021,R1,21-Mar-21,Perth Stadium,3:10 PM,38493,West Coast,83,Gold Coast,58,0
2021R108,2021,R1,21-Mar-21,Sydney Showground,3:20 PM,5014,Greater Western Sydney,78,St Kilda,86,114.4
